symbol,count,id
ORN,235,orion-protocol
HNT,233,helium
GEN,229,daostack
CTK,214,certik
DOCK,212,dock
KCS,212,kucoin-shares
EL,207,elysia
XVS,206,venus
RUNE,204,thorchain-erc20
VITE,202,vite
CHSB,200,swissborg
MKR,200,maker
STX,197,blockstack
FEG,197,feg-token
VID,197,videocoin
AMP,196,amp-token
KLV,195,klever
CRV,187,curve-dao-token
ONT,186,ontology
HYDRA,184,hydra
SAFEMARS,180,safemars
WAN,177,wanchain
GMT,176,gambit
HUNT,176,hunt-token
TEL,174,telcoin
VGX,172,ethos
TRU,170,truefi
ANT,169,aragon
ATRI,168,atari
TVK,167,terra-virtua-kolect
EFX,167,effect-network
UOS,157,ultra
KIN,156,kin
META,154,metadium
MINT,153,public-mint
DSLA,146,stacktical
WTC,145,waltonchain
BAO,142,bao-finance
LYXE,142,lukso-token
BONDLY,142,bondly
TOMO,142,tomochain
DEC,141,decentr
PNG,141,pangolin
CS,139,credits
PROS,137,prosper
POLY,137,polymath-network
INJ,137,injective-protocol
DAO,137,dao-maker
GTO,133,gifto
BTCST,133,btc-standard-hashrate-token
DUCK,133,dlp-duck-token
XDB,131,digitalbits
SI,131,siren
ACH,128,alchemy-pay
REVV,128,revv
KAVA,128,kava
MFT,127,mainframe
POLS,124,polkastarter
BAL,122,balancer
OVR,122,ovr
LEND,122,ethlend
BLZ,122,bluzelle
COCOS,121,cocos-bcx
NKN,120,nkn
AVA,120,concierge-io
DMT,119,dmarket
SYS,118,syscoin
IOTX,116,iotex
BIFI,115,beefy-finance
MITH,115,mithril
DIA,112,dia-data
AR,111,arweave
AION,110,aion
UTK,109,utrust
GVT,109,genesis-vision
VTC,108,vertcoin
RARI,107,rarible
WOO,107,wootrade-network
VIDYA,106,vidya
L2,105,leverj-gluon
SLP,105,smooth-love-potion
RBC,104,rubic
GO,102,gochain
SPI,102,shopping-io
AXS,100,axie-infinity
DCN,100,dentacoin
UPP,99,sentinel-protocol
WAXP,99,wax
ERN,98,ethernity-chain
OM,97,mantra-dao
PSG,97,paris-saint-germain-fan-token
SCRT,97,secret
REQ,91,request-network
BLANK,90,blank
ACM,89,ac-milan-fan-token
NMR,88,numeraire
XPR,88,proton
JST,86,just
NAV,86,nav-coin
SHA,85,safe-haven
MIR,84,mirror-protocol
HTR,84,hathor
UFT,84,unlend-finance
STPT,84,stp-network
GLM,83,golem
AGI,83,singularitynet
FXS,82,frax-share
PHA,82,pha
BEAM,82,beam
SOCKS,81,unisocks
DEFI5,81,defi-top-5-tokens-index
POND,80,marlin
TNB,79,time-new-bank
OXY,78,oxygen
ROCKS,78,rocki
ETN,78,electroneum
VAI,78,vai
QSP,77,quantstamp
BUNNY,76,pancake-bunny
MDT,76,measurable-data-token
SAN,76,santiment-network-token
BADGER,76,badger-dao
KMD,75,komodo
RNDR,75,render-token
LPOOL,74,launchpool
VIB,74,viberate
FRONT,72,frontier-token
GALA,72,gala
MTH,72,monetha
ZEE,71,zeroswap
QLC,70,qlink
STEEM,70,steem
IDLE,68,idle
TORN,67,tornado-cash
NXS,67,nexus
AST,66,airswap
API3,66,api3
KAI,65,kardiachain
XDN,65,digitalnote
OST,64,simple-token
ARPA,64,arpa-chain
WRX,64,wazirx
SYLO,64,sylo
SLT,63,smartlands
RDD,61,reddcoin
FIO,61,fio-protocol
BTS,60,bitshares
NIM,60,nimiq-2
DOUGH,59,piedao-dough-v2
UST,59,terrausd
ARMOR,58,armor
DEXE,58,dexe
SKY,57,skycoin
ECO,56,ecofi
DCR,55,decred
PPT,55,populous
XHV,55,haven
TWT,55,trust-wallet-token
INV,54,inverse-finance
IDEX,54,aurora-dao
BUX,54,blockport
QNT,53,quant-network
ZEN,53,zencash
MONA,52,monacoin
DAG,51,constellation-labs
PERP,51,perpetual-protocol
RAY,51,raydium
MED,49,medibloc
AERGO,48,aergo
LAYER,48,unilayer
TKO,48,tokocrypto
PROPS,47,props
VIDT,47,v-id-blockchain
BOSON,47,boson-protocol
SUPER,47,superfarm
MXC,46,mxc
IRIS,46,iris-network
FOAM,44,foam-protocol
ERG,44,ergo
STRAX,44,stratis
MOON,43,mooncoin
ELF,43,aelf
DUSK,42,dusk-network
NEBL,42,neblio
SNT,42,status
PICKLE,41,pickle-finance
SFUEL,41,sparkpoint-fuel
BEL,41,bella-protocol
SPANK,41,spankchain
TRTL,41,turtlecoin
MUSE,40,muse-2
FIRO,40,zcoin
ZAP,40,zap
CEL,39,celsius-degree-token
OPCT,39,opacity
IMPULSE,39,impulse-by-fdr
PROPEL,38,payrue
OAX,38,openanx
QKC,38,quark-chain
BSV,38,bitcoin-cash-sv
GRIN,38,grin
DEA,38,dea
CHI,38,chimaera
DBC,38,deepbrain-chain
CFX,38,conflux-token
MDA,37,moeda-loyalty-points
LAMB,37,lambda
MTV,36,multivac
NDX,36,indexed-finance
NAS,36,nebulas
AXN,35,axion
CUDOS,34,cudos
NXT,34,nxt
MLN,34,melon
TITAN,34,titanswap
OPIUM,34,opium
SMT,34,smartmesh
POLK,34,polkamarkets
SPARTA,33,spartan-protocol-token
SRM,33,serum
TRB,33,tellor
MXX,33,multiplier
LGCY,33,lgcy-network
BZRX,32,bzx-protocol
RDN,32,raiden-network
MAPS,32,maps
TCT,32,tokenclub
RLC,32,iexec-rlc
KIT,32,dexkit
CMT,32,cybermiles
SWINGBY,32,swingby
MDX,31,mdex
EVX,31,everex
CVNT,31,content-value-network
AOA,30,aurora
POWR,30,power-ledger
PROM,30,prometeus
ANC,30,anchor-protocol
BRD,30,bread
NCASH,30,nucleus-vision
ARDR,30,ardor
SNM,30,sonm
JUV,29,juventus-fan-token
XDC,29,xdce-crowd-sale
HAI,29,hackenai
XED,28,exeedme
GHST,28,aavegotchi
ENG,28,enigma
NFTX,28,nftx
KAN,28,kan
LPT,28,livepeer
CONV,27,convergence
CRE,27,carry
WBTC,27,wrapped-bitcoin
MTA,27,meta
DRGN,27,dragonchain
APL,27,apollo
ZKS,26,zkswap
LBC,26,lbry-credits
COVAL,26,circuits-of-value
MX,26,mx-token
VELO,26,velo
HEGIC,26,hegic
AKT,26,akash-network
NEST,26,nest
YFII,25,yfii-finance
BTG,25,bitcoin-gold
PRQ,25,parsiq
DF,25,dforce-token
NULS,24,nuls
FLUX,24,zelcash
FX,24,fx-coin
WXT,23,wirex
LEO,23,leo-token
GLQ,23,graphlinq-protocol
FTT,23,ftx-token
TIDAL,23,tidal-finance
CDT,23,blox
FTC,23,feathercoin
PMON,22,polkamon
SKEY,22,smartkey
FCL,22,fractal
LYM,22,lympo
ID,22,everid
RPL,22,rocket-pool
XCUR,22,curate
HNS,21,handshake
NMC,21,namecoin
ARCH,21,archer-dao-governance-token
BREW,21,cafeswap-token
SDX,21,swapdex
BTMX,21,bmax
LTX,21,lattice-token
HOPR,20,hopr
APPC,20,appcoins
VAL,20,radium
DYN,20,dynamic
RAD,20,radicle
CVP,20,concentrated-voting-power
XOR,20,sora
GT,19,gatechain-token
BAX,19,babb
YLD,19,yield-app
POA,19,poa-network
YAM,18,yam-2
MAID,18,maidsafecoin
AMPL,18,ampleforth
EWT,18,energy-web-token
RUFF,18,ruff
NEX,18,neon-exchange
NOIA,18,noia-network
SWRV,18,swerve-dao
KEY,18,selfkey
SHROOM,18,shroom-finance
SETH,18,seth
PAX,18,paxos-standard
OXEN,18,loki-network
MPL,17,maple-finance
BOA,17,bosagora
ROOK,17,rook
RAZOR,17,razor-network
DLT,17,agrello
CUBE,17,somnium-space-cubes
GUSD,16,gemini-dollar
SAI,16,sai
APYS,16,apyswap
RFOX,16,redfox-labs-2
XLA,16,stellite
KOBE,16,shabu-shabu
QUICK,16,quick
ICHI,16,ichi-farm
K21,16,k21
FUSE,16,fuse-network-token
HZN,15,horizon-protocol
DORA,15,dora-factory
HELMET,15,helmet-insure
XYO,15,xyo-network
AE,15,aeternity
NSBT,15,neutrino-system-base-token
BRY,15,berry-data
CND,15,cindicator
ELA,15,elastos
CATE,15,catecoin
YOP,15,yield-optimization-platform
CAS,14,cashaa
DIGG,14,digg
SUSD,14,nusd
KLAY,14,klay-token
BSCPAD,14,bscpad
RIF,14,rif-token
PAC,14,paccoin
OIN,14,oin-finance
MATTER,13,antimatter
TUSD,13,true-usd
AXIS,13,axis-defi
FSN,13,fsn
ZNN,13,zenon
ADX,13,adex
MIST,13,alchemist
JULD,13,julswap
XRT,13,robonomics-network
BAC,12,basis-cash
HT,12,huobi-token
DG,12,decentral-games
GAL,12,galatasaray-fan-token
TT,12,thunder-token
MITX,12,morpheus-labs
TXL,12,tixl-new
ORBS,12,orbs
ETP,12,metaverse-etp
VIA,12,viacoin
SPND,12,spendcoin
CXO,12,cargox
BIP,12,bip
VERI,11,veritaseum
ORAI,11,oraichain-token
SHR,11,sharering
YF-DAI,11,yfdai-finance
DPI,11,defipulse-index
VEE,10,blockv
PKF,10,polkafoundry
RCN,10,ripio-credit-network
ERSDL,10,unfederalreserve
ALPACA,10,alpaca-finance
LON,10,tokenlon
FIS,10,stafi
BAKE,10,bakerytoken
SNGLS,10,singulardtv
RENBTC,10,renbtc
RFR,9,refereum
UMX,9,unimex-network
WPR,9,wepower
BFT,9,bnktothefuture
OHM,9,olympus
DEUS,9,deus-finance
FRM,9,ferrum-network
OLY,8,olyseum
NFY,8,non-fungible-yearn
BMI,8,bridge-mutual
QRL,8,quantum-resistant-ledger
DIVI,8,divi
BCD,8,bitcoin-diamond
UMB,8,umbrella-network
HNY,8,honey
PPC,8,peercoin
PAXG,8,pax-gold
ROOBEE,8,roobee
PCX,8,chainx
CBK,8,cobak-token
NRG,8,energi
BCN,8,bytecoin
EGT,8,egretia
SUPERBID,8,superbid
GAME,7,gamecredits
BCHA,7,bitcoin-cash-abc-2
DEXT,7,idextools
LOC,7,lockchain
NWC,7,newscrypto-coin
MHC,7,metahash
EVN,7,evolution-finance
FXF,6,finxflo
ENQ,6,enq-enecuum
CFI,6,cyberfi
UBT,6,unibright
FWT,6,freeway-token
SOC,6,all-sports
SHOPX,6,splyt
RAI,6,rai
EMC2,6,einsteinium
SNTVT,6,sentivate
RFUEL,6,rio-defi
OKB,6,okb
UNN,6,union-protocol-governance-token
TAU,6,lamden
MBTC,6,mstable-btc
FRAX,6,frax
NBR,6,niobio-cash
SWTH,6,switcheo
DERO,6,dero
PPAY,6,plasma-finance
GNY,6,gny
HUSD,6,husd
XEND,5,xend-finance
OCN,5,odyssey
ALBT,5,allianceblock
HY,5,hybrix
EPS,5,ellipsis
UIP,5,unlimitedip
NMX,5,nominex
NEC,5,nectar-token
BTM,5,bytom
CLO,5,callisto
ARRR,5,pirate-chain
PLR,5,pillar
RIO,5,realio-network
BOR,5,boringdao
XIO,5,xio
FOR,5,force-protocol
NGM,5,e-money
BDP,5,big-data-protocol
HC,5,hshare
NCT,5,polyswarm
COL,5,unit-protocol
MPH,5,88mph
VRX,5,verox
DAPS,4,daps-token
KEX,4,kira-network
FNT,4,falcon-token
SWFTC,4,swftcoin
HORD,4,hord
JUL,4,jul
DATA,4,streamr-datacoin
LUSD,4,liquity-usd
BTC2,4,bitcoin-2
COFI,4,cofix
GBYTE,4,byteball
EDG,4,edgeware
RAINI,4,rainicorn
NIX,4,nix-platform
ESD,4,empty-set-dollar
SLINK,4,slink
CRPT,4,crypterium
WAULTX,4,wault
USDX,4,usdx
TLOS,4,telos
SNL,4,sport-and-leisure
OCE,4,oceanex-token
LCX,4,lcx
LQTY,4,liquity
WAULT,4,wault-finance-old
KRL,4,kryll
MARSH,4,unmarshal
EDR,4,endor
FCT,4,factom
ELE,4,eleven-finance
GTH,4,gather
WOW,4,wownero
VSP,4,vesper-finance
ACS,4,acryptos
XPRT,4,persistence
GRS,4,groestlcoin
FEI,4,fei-protocol
TBTC,4,tbtc
POOL,4,pooltogether
GNO,4,gnosis
ILV,3,illuvium
SFI,3,saffron-finance
OUSD,3,origin-dollar
MRPH,3,morpheus-network
FUND,3,unification
EOSC,3,eosforce
WGR,3,wagerr
CRU,3,crust-network
COV,3,covesting
PMA,3,pumapay
HIT,3,hitchain
HBTC,3,huobi-btc
CUMMIES,3,cumrocket
HAKKA,3,hakka-finance
VXV,3,vectorspace
BLOCK,3,blocknet
KYL,3,kylin-network
ROOM,3,option-room
DHT,3,dhedge-dao
EURS,3,stasis-eurs
MBX,3,mobiecoin
KP3R,3,keep3rv1
YCC,3,yuan-chain-coin
NEBO,3,csp-dao-network
CHT,3,coinhe-token
GHX,2,gamercoin
NRV,2,nerve-finance
SOUL,2,phantasma
DHC,2,deltahub-community
BOND,2,barnbridge
CBC,2,cashbet-coin
EMC,2,emercoin
WEBD,2,webdollar
PLU,2,pluton
CUSDC,2,compound-usd-coin
SYNX,2,syndicate
CDAI,2,cdai
SX,2,sportx
EXRD,2,e-radix
MOBI,2,mobius
HXRO,2,hxro
SWG,2,swirge
CUSD,2,celo-dollar
WOOFY,2,woofy
BIRD,2,bird-money
VALOR,2,smart-valor
AIOZ,2,aioz-network
LCC,2,litecoin-cash
PAY,2,tenx
KPAD,2,kickpad
ASR,2,as-roma-fan-token
ANY,2,anyswap
WNXM,2,wrapped-nxm
WOZX,2,wozx
CETH,2,compound-ether
DGD,2,digixdao
VETH,2,vether
XSN,2,stakenet
PART,2,particl
SCC,2,stakecube
FNX,2,finnexus
PLOT,2,plotx
PRO,2,propy
IFC,2,infinitecoin
PSL,2,pastel
TNT,2,tierion
NYZO,2,nyzo
NLG,2,gulden
VRSC,2,verus-coin
XBASE,2,eterbase
OCC,2,occamfi
COMBO,2,furucombo
ODDZ,2,oddz
WATCH,2,yieldwatch
STN,2,stone-token
AXEL,2,axel
LIKE,1,likecoin
ACT,1,achain
TRADE,1,unitrade
VLX,1,velas
ALCX,1,alchemix
GXC,1,gxchain
POOLZ,1,poolz-finance
AETH,1,ankreth
BBR,1,bitberry-token
WOM,1,wom-token
EAC,1,earthcoin
TONE,1,te-food
ALEPH,1,aleph
PTF,1,powertrade-fuel
MSLV,1,mirrored-ishares-silver-trust
BDT,1,blackdragon-token
ZAI,1,zero-collateral-dai
MYST,1,mysterium
AQT,1,alpha-quark-token
DDIM,1,duckdaodime
MWAT,1,restart-energy
UNC,1,unicrypt
MUSD,1,musd
XPX,1,proximax
NIOX,1,autonio
BMX,1,bitmart-token
MOC,1,mossland
ODE,1,odem
KRT,1,terra-krw
VSYS,1,v-systems
INSUR,1,insurace
PIB,1,pibble
BMXX,1,multiplier-bsc
BAAS,1,baasid
VNLA,1,vanilla-network
ZT,1,ztcoin
C20,1,crypto20
SUTER,1,suterusu
CRETH2,1,cream-eth2
RAZE,1,raze-network
ULT,1,ultiledger
UNCX,1,unicrypt-2
CORE,1,cvault-finance
TRIAS,1,trias-token
STETH,1,stakehound-staked-ether
CUT,1,cutcoin
ADK,1,aidos-kuneen
ARIA20,1,arianee
ZCN,1,0chain
ZB,1,zb-token
DEP,1,deapcoin
USDN,1,neutrino
KDA,1,kadena
BTU,1,btu-protocol
AGVE,1,agave-token
